query_id,query,nDCG_finetuned,nDCG_bm25,nDCG_congelado,mejor_baseline,delta_vs_mejor_baseline
4,"""vitamina c""",1.0,0.88995411685096,1.0,1.0,0.0
130,'el verano sin hombres',1.0,1.0,1.0,1.0,0.0
155,'suavizante sin olor',0.7653606369886217,0.5307212739772434,0.0,0.5307212739772434,0.23463936301137822
210,+3 dioptrias lente sin montar,0.3333333333333333,0.38685280723454163,0.3333333333333333,0.38685280723454163,-0.053519473901208314
232,", almohadilla sin tinta para sellos",0.841492960259019,0.07336392209936006,0.5769706247040592,0.5769706247040592,0.26452233555495974
237,", champú sin sal salerm",0.13886244387355456,0.23177307466786257,0.5779050396291793,0.5779050396291793,-0.4390425957556247
245,", mascarilla infantil ffp2 sin grafeno",0.7162874455029682,0.7569021067152311,0.5577804057619871,0.7569021067152311,-0.04061466121226287
248,", punta de acero, botas sin cordones",0.2658200052773918,0.4378043742107727,0.38414982660706115,0.4378043742107727,-0.17198436893338087
260,",metal anillo para el pelo sin goma",0.1909208661789347,0.21252302622743088,0.13032376591037065,0.21252302622743088,-0.02160216004849619
266,",vestido acanalado delgado sin mangas",1.0,1.0,0.8643145546088339,1.0,0.0
270,- butaca de diseño de terciopelo sin reposabrazos,0.727329844310522,0.349966777951421,0.6403089930936582,0.6403089930936582,0.08702085121686376
369,.bolitas sin gluten,0.9363792118010483,0.9363792118010483,1.0,1.0,-0.06362078819895167
375,.hidratante cara sin perfume,0.8486026589039901,0.7877736340270853,0.92663607790064,0.92663607790064,-0.07803341899664984
425,0.1mm wire sin esmalte,0.46047467141697834,0.44562607775993796,0.6564116633996523,0.6564116633996523,-0.19593699198267395
592,0lanchas sin cable,0.43707943365237834,0.17342765698823948,0.27487633291429087,0.27487633291429087,0.16220310073808747
672,1 año sin insectos,0.4412576003965278,0.44615333764087994,0.21398626473452756,0.44615333764087994,-0.004895737244352161
701,1 cerbeza sin alcol,0.9363792118010483,0.7100226348397881,0.9305687780632229,0.9305687780632229,0.005810433737825416
702,1 cinturones sin hebilla,1.0,0.4977962688668736,0.8643145546088339,0.8643145546088339,0.13568544539116612
740,1 funda de cojin con patron mixto sin relleno,0.6684881776649959,0.8346590855918831,0.6295304155921457,0.8346590855918831,-0.16617090792688716
747,1 gang 2 way wifi sin neutro,0.4006705181006301,0.2496640287027892,0.4505655760587973,0.4505655760587973,-0.04989505795816723
811,1 mascarilla sin aclarado,0.857980942822373,0.7791714369672128,0.6555476069276601,0.7791714369672128,0.07880950585516022
828,1 molde freidora sin aceite,0.5509662124799076,0.5779050396291793,0.6749359875559983,0.6749359875559983,-0.12396977507609064
851,1 palets madera baratos sin respaldo,0.7279965505724832,0.38414982660706115,0.20124768870643617,0.38414982660706115,0.3438467239654221
852,1 paños de limpieza de microfibra desechables sin pelusa,0.5637884576902257,0.5072380780124418,0.4034826666009929,0.5072380780124418,0.05655037967778387
855,1 pendientes clip hombre sin agujero,1.0,0.9337457765456111,1.0,1.0,0.0
882,1 sobre pokémon sin brillar,0.38685280723454163,0.38685280723454163,0.5,0.5,-0.11314719276545837
888,1 sumas sin llevada,0.7631925784528223,0.5224955967919311,0.6145870006788593,0.6145870006788593,0.148605577773963
901,1 turbante para rizos sin calor,0.62851089260591,0.37878333867593544,0.77990823370192,0.77990823370192,-0.15139734109601
937,"1, 2 o 3 pantalones cortos moldeadores sin costuras",0.6901935063354876,0.618519700841442,0.551331062461933,0.618519700841442,0.07167380549404556
1122,1/4 pulgadas convertidor sin llave de mandril,1.0,1.0,1.0,1.0,0.0
1126,1/4 sin cabeza hexagonales,0.3187704634136789,0.34416852174888696,0.3229501751883214,0.34416852174888696,-0.025398058335208085
1170,10 cinta de goma elástica para el pelo sin pliegue,1.0,0.8415908474314977,1.0,1.0,0.0
1178,10 enchufes regleta sin cable,0.0,0.38685280723454163,0.0,0.38685280723454163,-0.38685280723454163
1368,100 algodon mujer camisones sin mangas,0.9216017310213247,0.6620158551732018,0.9337457765456111,0.9337457765456111,-0.012144045524286384
1373,100 bandera españa sin escudo colga palo,0.9135277613190136,0.9502236778911698,0.8735286486161714,0.9502236778911698,-0.036695916572156206
1430,100 terminales de cable sin aislar,0.8701249883466594,0.8669479898642711,0.6867151830982592,0.8669479898642711,0.0031769984823882824
1431,100 velas sin parafina,0.4412851793128929,0.2972715964420571,0.17947710508581738,0.2972715964420571,0.14401358287083582
1437,100 whey protein sin lactosa,0.4772656487866462,0.41918605213740834,0.4772656487866462,0.4772656487866462,0.0
1440,100 x papel para hornear freidora sin aceite,0.7065443116025598,0.77990823370192,0.7948833326720566,0.7948833326720566,-0.08833902106949676
1508,100w proyector led exterior ip67 sin prime,1.0,1.0,0.6309297535714575,1.0,0.0
1538,105h sin tirantes,0.92663607790064,0.92663607790064,0.633219679627003,0.92663607790064,0.0
1658,10xdiez saco nordico sin relleno,0.7034066032439749,0.5212960629027201,0.6874708847784539,0.6874708847784539,0.015935718465520998
1727,11.1 tinte sin amoniaco,0.32558463453628983,0.0,0.3599578324401888,0.3599578324401888,-0.03437319790389898
1762,117a toner sin chip,1.0,1.0,1.0,1.0,0.0
1798,12 años sin piedad,1.0,1.0,1.0,1.0,0.0
1870,12 pomos sin tornillos,0.0,0.0,0.0,0.0,0.0
1921,12/0 sin amoniaco,1.0,1.0,0.0,1.0,0.0
